user;id_mac;timestamp;cpu_percent;cpu_time_user;cpu_ctx_switches;processo_pid_max_cpu;processo_name_max_cpu;processo_cpu_percent_max_cpu;total_processos;virtual_memory_total;virtual_memory_available;disk_read_bytes;disk_write_bytes;net_bytes_sent;net_bytes_recv;net_packets_sent;net_packets_recv;net_errin;net_errout;net_dropin;net_dropout;usuarios_logados
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:07;17.5;4294.34;12906;0;System Idle Process;80.1375;272;16714698752;4914565120;0;139264;26112;40441;86;79;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:14;17.6;4303.52;209290;0;System Idle Process;81.375;271;16714698752;4913176576;3324928;1245184;3910;6825;20;35;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:22;12.5;4308.89;88614;0;System Idle Process;81.25;271;16714698752;4926185472;258048;356352;4297;8071;23;26;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:29;13.5;4312.64;85169;0;System Idle Process;78.0;271;16714698752;4948938752;0;622592;6788;2270;20;20;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:37;6.1;4316.55;80824;0;System Idle Process;83.0625;272;16714698752;4941950976;0;360448;12357;7381;28;39;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:44;26.0;4323.22;150142;0;System Idle Process;70.625;273;16714698752;4933910528;53248;581632;13529;91393;90;111;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:52;20.3;4331.69;122843;0;System Idle Process;60.025;272;16714698752;4948566016;1585152;233472;24388;21925;43;52;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:57:59;26.0;4339.83;129423;0;System Idle Process;68.925;272;16714698752;4941545472;0;319488;3748;7933;19;34;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:07;8.9;4347.39;87397;0;System Idle Process;72.825;272;16714698752;4945850368;0;294912;3548;4988;15;36;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:14;11.6;4351.73;83762;0;System Idle Process;84.375;271;16714698752;4948873216;0;315392;4191;5760;24;32;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:22;16.1;4355.72;77495;0;System Idle Process;79.9375;271;16714698752;4960530432;0;421888;3481;8245;16;35;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:29;30.3;4365.83;237072;0;System Idle Process;71.025;280;16714698752;4689272832;63632384;3315712;24840;50848;87;89;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:37;11.4;4369.64;88261;0;System Idle Process;82.55;279;16714698752;4714340352;122880;1269760;4219;3739;22;34;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:44;32.0;4375.38;141145;0;System Idle Process;79.1125;279;16714698752;4799770624;32768;1241088;4166;6929;20;36;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:52;19.9;4380.64;88244;0;System Idle Process;68.825;279;16714698752;4797083648;0;159744;16927;16998;37;33;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:58:59;18.3;4389.34;123759;0;System Idle Process;71.0375;279;16714698752;4797747200;0;24576;3977;8185;20;39;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:07;26.0;4396.97;111231;0;System Idle Process;66.8875;279;16714698752;5073326080;0;1134592;3883;1841;18;21;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:14;9.8;4402.17;332763;0;System Idle Process;81.2375;279;16714698752;5075050496;1379328;1130496;6297;14476;34;40;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:22;7.5;4405.61;72898;0;System Idle Process;84.8;279;16714698752;5079408640;0;319488;3419;6918;13;27;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:29;18.3;4409.42;83105;0;System Idle Process;87.2625;277;16714698752;5090009088;6144;956416;8256;39180;37;49;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:37;7.6;4412.94;73080;0;System Idle Process;78.7;277;16714698752;5093351424;0;192512;3598;1639;14;16;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:44;8.9;4417.2;84559;0;System Idle Process;80.9375;278;16714698752;5077225472;132608;1114112;4642;10225;26;47;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 19:59:52;19.6;4422.25;88310;0;System Idle Process;84.15;279;16714698752;5030461440;163840;712704;138732;45270;166;131;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:00;22.2;4427.17;78723;0;System Idle Process;74.775;279;16714698752;5046771712;12288;532480;3548;2832;15;18;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:07;8.1;4432.42;109351;0;System Idle Process;85.8375;280;16714698752;4985475072;9932800;389632;22761;26156;62;69;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:15;10.9;4435.94;76299;0;System Idle Process;81.725;280;16714698752;4987572224;2285568;831488;6385;2456;45;25;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:22;11.7;4440.0;83063;0;System Idle Process;82.5;280;16714698752;4994265088;0;507904;3137;4167;10;19;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:30;22.8;4444.75;91342;0;System Idle Process;56.5;280;16714698752;4941852672;1907712;1277952;3750;5103;17;27;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:39;12.6;4451.31;113726;0;System Idle Process;70.85;280;16714698752;4900847616;1040896;1233408;4639;5024;26;34;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-19 20:00:48;22.4;4462.39;173398;0;System Idle Process;75.15;280;16714698752;4873146368;81920;872448;29630;26636;60;74;0;0;0;0;1
